,Total_wait_time,Kiosk_wait_times,Chef_wait_times,Utensil_dispenser_wait_times,Pop_machine_wait_times
0,449,33,326,6,6
1,433,0,292,0,0
2,293,0,188,5,5
3,328,0,242,0,0
4,516,52,260,0,0
5,413,0,250,0,0
6,528,70,344,0,0
7,554,84,298,26,26
8,428,0,257,0,0
9,461,0,255,9,9
10,729,89,396,0,0
11,589,0,364,0,0
12,729,34,365,5,5
13,653,0,305,0,0
14,644,0,284,0,0
15,884,0,399,0,0
16,900,45,291,7,7
17,858,49,266,0,0
18,733,0,217,0,0
19,939,0,353,0,0
20,950,87,246,27,27
21,934,83,281,5,5
22,947,48,320,14,14
23,898,86,296,7,7
24,820,42,190,0,0
25,881,39,323,0,0
26,904,45,393,0,0
27,1047,68,400,29,29
28,926,76,284,0,0
29,876,0,254,16,16
30,1108,54,376,0,0
31,959,72,279,0,0
32,1123,66,351,26,26
33,883,0,233,1,1
34,1200,66,385,0,0
35,1099,0,356,0,0
36,1053,0,188,0,0
37,1192,0,410,30,30
38,1206,0,214,19,19
39,1325,0,421,22,22
40,1352,0,334,0,0
41,1532,33,376,0,0
42,1411,64,247,1,1
43,1611,34,335,5,5
44,1464,76,310,0,0
45,1664,0,361,0,0
46,1531,30,331,23,23
47,1615,0,291,0,0
48,1555,0,382,4,4
49,1500,0,268,0,0
50,1678,32,349,13,13
51,1639,66,183,0,0
52,1570,0,288,0,0
53,1708,52,409,0,0
54,1586,71,269,0,0
55,1783,0,380,22,22
56,1659,0,271,5,5
57,1663,39,194,29,29
58,1719,0,270,0,0
59,1728,0,372,0,0
60,1878,0,392,0,0
61,1932,70,401,0,0
62,1892,65,187,0,0
63,2090,61,419,23,23
64,2041,39,403,0,0
65,2143,48,234,22,22
